stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
Söllingen Reetzstr.,549095.0,REG_617815,48.991055,8.540793,,
Söllingen Reetzstraße,,REG_549095,48.99089,8.540858,1.0,
Söllingen(b Karlsr),100843.0,REG_343103,48.987755,8.543543,,
Sömmerda,,REG_18340,51.165188,11.127538,1.0,
Sömmerda,18340.0,REG_641772,51.164955,11.127584,,
Sörup,,REG_389168,54.71659,9.669982,1.0,
Sörup,389168.0,REG_49496,54.716614,9.669986,,
Süderbrarup,,REG_102047,54.63737,9.770924,1.0,
Süderbrarup,102047.0,REG_334053,54.63741,9.770907,,
Süderdeich,,REG_590280,54.198185,8.911247,1.0,
Süderdeich,590280.0,REG_133259,54.198185,8.911247,,
Süderlügum,,REG_338709,54.871,8.889327,1.0,
Süderlügum,338709.0,REG_157619,54.871,8.889327,,
Sülzbach,,REG_30756,49.14865,9.339541,1.0,
Sülzbach,30756.0,REG_564985,49.14855,9.340458,,
Sülzbach Schule,,REG_513749,49.144974,9.35122,1.0,
Sülzbach Schule,513749.0,REG_285012,49.144833,9.351532,,
Sülzenbrücken,360625.0,REG_662256,50.886967,10.892928,,
Sülzenbrücken (Bushaltestelle),,REG_360625,50.886944,10.892777,1.0,
Sünching,,REG_452961,48.884155,12.356776,1.0,
Sünching,452961.0,REG_67379,48.88416,12.356769,,
Süßen,,REG_296929,48.683735,9.75954,1.0,
Süßen,296929.0,REG_370843,48.68364,9.76028,,
Taben,142441.0,REG_650937,49.55266,6.60082,,
"Taben, Bahnhof",,REG_142441,49.5525,6.601297,1.0,
Tacherting,,REG_275781,48.078743,12.567332,1.0,
Tacherting,275781.0,REG_424674,48.078747,12.567336,,
Tamm,,REG_332621,48.92188,9.125284,1.0,
Tamm(Württ),332621.0,REG_586777,48.921604,9.125828,,
Tample,,REG_91724,50.54608,15.465091,1.0,
Tample,91724.0,REG_31783,50.54608,15.465091,,
